"","Jan","Fev","Mar","Abr","Mai","Jun","Jul","Ago","Set","Out","Nov","Dez","Ano"
"2025","0,83%","0,40%","0,39%","0,52%","0,58%","--","--","--","--","--","--","--","2,75%"
"2024","0,27%","0,13%","0,28%","0,52%","0,86%","0,71%","0,72%","0,70%","0,58%","0,68%","0,40%","0,50%","6,54%"
"2023","0,46%","0,05%","0,30%","0,14%","0,59%","0,71%","0,10%","0,17%","0,34%","0,20%","0,07%","0,31%","3,49%"
"2022","0,71%","0,38%","0,86%","0,95%","2,28%","2,14%","0,86%","0,09%","0,09%","0,12%","0,36%","0,09%","9,27%"
"2021","0,89%","1,89%","1,30%","0,90%","2,22%","2,16%","0,85%","0,46%","0,51%","0,86%","0,67%","0,35%","13,84%"
"2020","0,38%","0,33%","0,26%","0,22%","0,20%","0,34%","1,17%","0,72%","1,16%","1,73%","1,28%","0,70%","8,81%"
"2019","0,49%","0,09%","0,31%","0,38%","0,03%","0,88%","0,58%","0,42%","0,46%","0,18%","0,04%","0,21%","4,14%"
"2018","0,31%","0,13%","0,24%","0,29%","0,23%","0,97%","0,61%","0,15%","0,23%","0,35%","0,13%","0,13%","3,83%"
"2017","0,41%","0,65%","0,16%","-0,02%","0,63%","0,93%","0,30%","0,36%","0,06%","0,31%","0,31%","0,07%","4,25%"
"2016","0,39%","0,54%","0,64%","0,55%","0,08%","1,93%","0,49%","0,29%","0,33%","0,21%","0,16%","0,34%","6,10%"
"2015","0,92%","0,31%","0,62%","0,46%","0,95%","1,84%","0,55%","0,59%","0,22%","0,36%","0,34%","0,10%","7,49%"
"2014","0,88%","0,33%","0,28%","0,88%","2,05%","0,66%","0,75%","0,08%","0,15%","0,17%","0,44%","0,08%","6,94%"
"2013","0,65%","0,60%","0,50%","0,74%","2,25%","1,15%","0,48%","0,31%","0,43%","0,26%","0,35%","0,10%","8,09%"
"2012","0,89%","0,30%","0,51%","0,75%","1,88%","0,73%","0,67%","0,26%","0,22%","0,21%","0,33%","0,16%","7,12%"
"2011","0,41%","0,28%","0,43%","1,06%","2,94%","0,37%","0,45%","0,13%","0,14%","0,23%","0,72%","0,11%","7,48%"
"2010","0,64%","0,36%","0,75%","0,84%","1,81%","1,09%","0,44%","0,14%","0,21%","0,20%","0,37%","0,67%","7,77%"
"2009","0,33%","0,27%","-0,25%","-0,04%","1,39%","0,70%","0,26%","-0,05%","0,15%","0,06%","0,29%","0,10%","3,25%"
"2008","0,38%","0,40%","0,66%","0,87%","2,02%","1,92%","1,46%","1,18%","0,95%","0,77%","0,50%","0,17%","11,86%"
"2007","0,45%","0,21%","0,27%","0,46%","1,15%","0,92%","0,31%","0,26%","0,51%","0,51%","0,36%","0,59%","6,16%"
"2006","0,34%","0,19%","0,20%","0,36%","1,32%","0,90%","0,47%","0,24%","0,11%","0,21%","0,23%","0,36%","5,04%"
"2005","0,75%","0,44%","0,67%","0,72%","2,09%","0,76%","0,11%","0,02%","0,24%","0,19%","0,28%","0,37%","6,83%"
"2004","0,33%","1,00%","1,16%","0,59%","1,83%","0,70%","1,12%","0,81%","0,58%","1,19%","0,71%","0,51%","11,04%"
"2003","1,51%","1,39%","1,38%","0,90%","2,84%","1,05%","0,99%","1,44%","0,22%","0,65%","1,04%","0,16%","14,42%"
"2002","0,36%","0,58%","0,55%","0,33%","2,53%","0,57%","0,29%","1,00%","0,71%","1,13%","2,45%","1,70%","12,87%"
"2001","0,58%","0,34%","0,27%","0,36%","2,11%","1,16%","0,52%","0,62%","0,55%","0,93%","0,74%","0,34%","8,85%"
"2000","1,07%","0,77%","0,56%","0,60%","1,35%","0,73%","0,30%","0,39%","0,26%","0,33%","0,41%","0,64%","7,66%"
